Date,Product_Category,Product,Region,Customer_Type,Units_Sold,Unit_Price,Revenue,Profit
2022-01-01,Clothing,Jeans,South,Direct,70,477.21,31734.46,13542.06
2022-01-01,Electronics,Laptop,West,Retail,80,151.73,13352.24,5896.68
2022-01-01,Sports,Tennis Racket,Central,Wholesale,82,311.06,25506.92,7317.33
2022-01-01,Clothing,T-Shirt,South,Direct,89,448.66,37934.2,7833.39
2022-01-01,Electronics,Tablet,South,Wholesale,87,59.81,4943.3,1635.63
2022-01-01,Electronics,Tablet,West,Retail,71,159.3,12441.33,4766.17
2022-01-01,Electronics,Headphones,Central,Wholesale,80,407.83,32626.4,6289.98
2022-01-01,Beauty,Face Serum,East,Retail,93,311.66,28984.38,12091.51
2022-01-01,Sports,Yoga Mat,North,Retail,29,262.66,9140.57,2236.66
2022-01-01,Home & Garden,Garden Tools,West,Direct,27,452.42,13436.87,4063.08
2022-01-01,Beauty,Face Serum,East,Wholesale,29,344.45,9989.05,4386.93
2022-01-01,Sports,Running Shoes,North,Wholesale,16,450.14,8642.69,3205.1
2022-01-01,Clothing,T-Shirt,Central,Retail,65,263.01,17095.65,5735.06
2022-01-01,Sports,Dumbbell Set,South,Wholesale,1,370.18,351.67,150.35
2022-01-02,Clothing,T-Shirt,South,Direct,48,317.14,14461.58,5223.1
2022-01-02,Clothing,T-Shirt,East,Retail,1,493.64,493.64,194.95
2022-01-02,Electronics,Smartwatch,South,Retail,22,363.97,7606.97,2229.08
2022-01-02,Electronics,Smartwatch,West,Direct,1,466.17,512.79,95.15
2022-01-02,Clothing,Jacket,North,Direct,11,334.32,4413.02,743.4
2022-01-02,Sports,Bike Helmet,North,Wholesale,30,56.69,2040.84,798.8
2022-01-02,Home & Garden,Office Chair,South,Direct,33,66.64,2089.16,937.32
2022-01-02,Home & Garden,Bedding Set,West,Wholesale,56,307.21,18924.14,3585.72
2022-01-02,Clothing,Jacket,Central,Direct,39,358.06,13964.34,2444.72
2022-01-02,Sports,Yoga Mat,North,Wholesale,86,153.26,15816.43,6849.59
2022-01-02,Home & Garden,Bedding Set,West,Wholesale,86,203.47,19248.26,4817.53
2022-01-02,Home & Garden,Garden Tools,South,Direct,34,284.01,9173.52,3079.29
2022-01-03,Home & Garden,Bedding Set,Central,Retail,95,237.09,22523.55,3559.89
2022-01-03,Clothing,Jacket,North,Retail,15,17.3,311.4,68.2
2022-01-03,Beauty,Face Serum,North,Retail,16,133.54,2563.97,697.04
2022-01-03,Beauty,Skin Care Kit,West,Retail,7,326.84,2516.67,997.55
2022-01-03,Sports,Yoga Mat,Central,Wholesale,77,146.02,11243.54,4831.44
2022-01-03,Sports,Bike Helmet,Central,Retail,32,319.5,10224.0,3404.35
2022-01-03,Electronics,Laptop,East,Direct,4,229.21,916.84,356.29
2022-01-03,Sports,Yoga Mat,West,Wholesale,82,59.31,5349.76,1811.85
2022-01-03,Home & Garden,Bedding Set,North,Retail,95,341.49,38929.86,6946.42
2022-01-03,Home & Garden,Office Chair,East,Direct,23,410.21,9434.83,3311.96
2022-01-03,Beauty,Skin Care Kit,North,Retail,27,251.36,8144.06,1439.05
2022-01-03,Clothing,T-Shirt,North,Direct,42,128.3,6466.32,2574.19
2022-01-03,Home & Garden,Lamp,South,Wholesale,9,117.41,1003.86,311.64
2022-01-03,Clothing,Dress,North,Wholesale,7,15.05,126.42,27.14
2022-01-03,Electronics,Laptop,Central,Wholesale,95,220.62,20958.9,7404.31
2022-01-04,Clothing,Sneakers,North,Wholesale,67,430.01,34572.8,12959.06
2022-01-04,Sports,Dumbbell Set,South,Retail,23,459.64,10043.13,2348.5
2022-01-04,Beauty,Skin Care Kit,North,Retail,20,437.88,10509.12,4265.75
2022-01-04,Clothing,Jeans,North,Wholesale,27,348.11,11278.76,3650.86
2022-01-04,Beauty,Face Serum,South,Wholesale,9,280.99,2402.46,735.9
2022-01-04,Home & Garden,Office Chair,Central,Direct,53,416.77,22088.81,4439.56
2022-01-04,Sports,Dumbbell Set,East,Direct,28,194.22,5438.16,2292.36
2022-01-04,Clothing,Sneakers,Central,Retail,34,167.51,5695.34,1339.4
2022-01-04,Electronics,Tablet,Central,Direct,76,233.49,17745.24,4148.89
2022-01-04,Home & Garden,Cookware Set,West,Wholesale,45,64.42,3188.79,506.44
2022-01-04,Sports,Yoga Mat,West,Direct,96,115.6,12207.36,2585.89
2022-01-04,Sports,Dumbbell Set,East,Direct,95,346.25,32893.75,7801.7
2022-01-04,Beauty,Hair Dryer,North,Direct,2,148.54,356.5,60.73
2022-01-04,Beauty,Fragrance,West,Wholesale,75,19.21,1584.83,488.31
2022-01-04,Sports,Tennis Racket,North,Retail,66,442.89,35076.89,5607.58
2022-01-04,Sports,Dumbbell Set,East,Direct,95,346.25,32893.75,7801.7
2022-01-05,Home & Garden,Office Chair,Central,Wholesale,25,232.83,5820.75,1578.51
2022-01-05,Beauty,Makeup Palette,North,Direct,58,406.24,28274.3,6179.93
2022-01-05,Beauty,Hair Dryer,North,Retail,18,158.69,3427.7,991.22
2022-01-05,Electronics,Smartphone,North,Wholesale,87,75.0,7830.0,2812.23
2022-01-05,Beauty,Hair Dryer,South,Retail,12,283.63,3233.38,1378.76
2022-01-05,Sports,Bike Helmet,Central,Direct,34,357.57,12157.38,4024.84
2022-01-05,Clothing,T-Shirt,West,Direct,34,190.48,7123.95,3201.05
2022-01-05,Home & Garden,Garden Tools,Central,Retail,24,54.79,1314.96,403.4
2022-01-05,Electronics,Headphones,North,Wholesale,15,496.77,8941.86,2985.17
2022-01-05,Home & Garden,Cookware Set,South,Direct,26,294.72,7279.58,2022.48
2022-01-05,Electronics,Tablet,Central,Direct,66,48.78,3219.48,684.29
2022-01-05,Electronics,Laptop,North,Retail,66,241.08,19093.54,6796.19
2022-01-05,Electronics,Smartwatch,South,Direct,3,365.04,1040.36,356.23
2022-01-05,Clothing,Dress,West,Retail,26,363.7,10401.82,3154.64
2022-01-05,Clothing,T-Shirt,North,Wholesale,7,299.22,2513.45,903.7
2022-01-05,Beauty,Hair Dryer,North,Direct,60,393.23,28312.56,5303.69
2022-01-05,Electronics,Laptop,North,Direct,9,268.89,2904.01,
2022-01-05,Beauty,Hair Dryer,North,Retail,18,158.69,3427.7,991.22
2022-01-06,Beauty,Hair Dryer,North,Direct,59,253.84,17971.87,5384.24
2022-01-06,Home & Garden,Office Chair,North,Direct,26,226.62,7070.54,2176.32
2022-01-06,Clothing,Sneakers,North,Wholesale,42,435.56,21952.22,3748.84
2022-01-06,Beauty,Hair Dryer,West,Direct,56,489.66,30163.06,12812.18
2022-01-06,Home & Garden,Bedding Set,North,Direct,12,475.32,6844.61,1482.94
2022-01-06,Electronics,Headphones,Central,Wholesale,15,213.0,3195.0,960.42
2022-01-06,Beauty,Fragrance,West,Wholesale,49,306.02,16494.48,4823.84
2022-01-06,Electronics,Smartphone,North,Retail,27,106.3,3444.12,826.6
2022-01-06,Home & Garden,Garden Tools,Central,Direct,74,496.3,36726.2,5729.45
